image_id,legacy_image_id,volunteer_id,source_module,released_view,dentition,final_rule_id,final_rule_coverage,cluster_coarse,cluster_fine,PC1,PC2,PC3,PC4,filepath
permanent_dentition_DAI_V10_S01,DAI_V10_S01,DAI_V10,permanent_dentition_DAI,occlusal,permanent,13,0.9780244005661244,1,6,-19.437763,-17.617651,-0.9440771,-6.618292,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S01.jpeg
permanent_dentition_DAI_V10_S10,DAI_V10_S10,DAI_V10,permanent_dentition_DAI,frontal,permanent,11,0.9162785649509204,0,6,15.971297,-18.257584,3.1765406,-11.093292,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S10.jpeg
permanent_dentition_DAI_V10_S11,DAI_V10_S11,DAI_V10,permanent_dentition_DAI,occlusal,permanent,4,0.9759053964006058,1,6,-8.446336,-1.8121792,11.715069,-3.4215722,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S11.jpeg
permanent_dentition_DAI_V10_S12,DAI_V10_S12,DAI_V10,permanent_dentition_DAI,occlusal,permanent,13,0.9599543999192628,1,4,-20.939398,-12.444814,6.1895537,-0.5549372,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S12.jpeg
permanent_dentition_DAI_V10_S02,DAI_V10_S02,DAI_V10,permanent_dentition_DAI,occlusal,permanent,1,0.8623757734607425,1,4,-37.2848,-20.819153,0.4081914,-11.821119,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S02.jpeg
permanent_dentition_DAI_V10_S03,DAI_V10_S03,DAI_V10,permanent_dentition_DAI,occlusal,permanent,13,0.8655272261633272,1,4,-27.259335,-19.08857,2.3461366,-11.324842,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S03.jpeg
permanent_dentition_DAI_V10_S04,DAI_V10_S04,DAI_V10,permanent_dentition_DAI,occlusal,permanent,12,0.9477194427019888,1,4,-53.96409,-29.835917,-15.798482,-11.554794,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S04.jpeg
permanent_dentition_DAI_V10_S05,DAI_V10_S05,DAI_V10,permanent_dentition_DAI,occlusal,permanent,12,0.7993339209087371,1,0,-41.996227,15.460457,2.1155534,-25.411669,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S05.jpeg
permanent_dentition_DAI_V10_S06,DAI_V10_S06,DAI_V10,permanent_dentition_DAI,occlusal,permanent,12,0.9817247820206558,1,4,-56.538136,-10.378415,-1.5790309,-3.2022085,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S06.jpeg
permanent_dentition_DAI_V10_S07,DAI_V10_S07,DAI_V10,permanent_dentition_DAI,occlusal,permanent,12,0.7601224193339821,1,0,-42.022053,22.992332,-0.2146958,-20.133242,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S07.jpeg
permanent_dentition_DAI_V10_S08,DAI_V10_S08,DAI_V10,permanent_dentition_DAI,occlusal,permanent,4,0.9148896705176291,1,2,-11.446556,16.656015,-0.33801854,21.477774,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S08.jpeg
permanent_dentition_DAI_V10_S09,DAI_V10_S09,DAI_V10,permanent_dentition_DAI,occlusal,permanent,6,0.969548377847404,1,6,-7.1726193,-18.37809,8.067856,-2.7021937,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S09.jpeg
permanent_dentition_DAI_V01_S01,DAI_V01_S01,DAI_V01,permanent_dentition_DAI,occlusal,permanent,12,0.9598398108807378,1,4,-53.739937,-23.277437,-2.398611,-5.4773226,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S01.jpeg
permanent_dentition_DAI_V01_S10,DAI_V01_S10,DAI_V01,permanent_dentition_DAI,occlusal,permanent,13,0.9944755345271238,1,4,-20.65261,-13.598094,-2.115276,-3.0210152,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S10.jpeg
permanent_dentition_DAI_V01_S11,DAI_V01_S11,DAI_V01,permanent_dentition_DAI,occlusal,permanent,15,1.0,1,6,-8.293517,-2.0640035,-18.429268,-6.4447546,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S11.jpeg
permanent_dentition_DAI_V01_S12,DAI_V01_S12,DAI_V01,permanent_dentition_DAI,occlusal,permanent,13,0.9730353542286602,1,6,-19.128773,-21.224264,-15.819146,-6.2860904,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S12.jpeg
permanent_dentition_DAI_V01_S02,DAI_V01_S02,DAI_V01,permanent_dentition_DAI,occlusal,permanent,3,0.9613314250083084,1,4,-31.696457,-13.8818655,-7.6696053,-1.9792775,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S02.jpeg
permanent_dentition_DAI_V01_S03,DAI_V01_S03,DAI_V01,permanent_dentition_DAI,occlusal,permanent,13,0.9356443212853583,1,4,-26.446672,-26.028688,-8.418655,-1.9897321,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S03.jpeg
permanent_dentition_DAI_V01_S04,DAI_V01_S04,DAI_V01,permanent_dentition_DAI,occlusal,permanent,13,0.950928376389979,1,4,-23.388622,-9.6265335,35.140274,-14.281976,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S04.jpeg
permanent_dentition_DAI_V01_S05,DAI_V01_S05,DAI_V01,permanent_dentition_DAI,occlusal,permanent,12,0.8815965763043858,1,4,-51.190926,-3.4838228,-3.1134257,-8.329499,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S05.jpeg
permanent_dentition_DAI_V01_S06,DAI_V01_S06,DAI_V01,permanent_dentition_DAI,occlusal,permanent,12,0.9413789894755324,1,4,-65.49225,-19.158487,-9.57979,0.63397473,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S06.jpeg
permanent_dentition_DAI_V01_S07,DAI_V01_S07,DAI_V01,permanent_dentition_DAI,occlusal,permanent,12,0.7817720393140483,1,0,-72.91375,15.902023,0.31767553,-18.015028,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S07.jpeg
permanent_dentition_DAI_V01_S08,DAI_V01_S08,DAI_V01,permanent_dentition_DAI,occlusal,permanent,12,0.984467730381392,1,4,-61.0556,-6.757145,-1.1505122,5.9141226,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S08.jpeg
permanent_dentition_DAI_V01_S09,DAI_V01_S09,DAI_V01,permanent_dentition_DAI,occlusal,permanent,13,0.9785391541045182,1,4,-21.791265,-15.937455,14.627663,2.0034854,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S09.jpeg
permanent_dentition_DAI_V02_S01,DAI_V02_S01,DAI_V02,permanent_dentition_DAI,frontal,permanent,10,0.9526026969082076,0,5,27.759005,-13.807558,1.4800255,-7.0163603,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S01.jpeg
permanent_dentition_DAI_V02_S10,DAI_V02_S10,DAI_V02,permanent_dentition_DAI,frontal,permanent,11,0.9503741686876416,0,3,11.473,-7.200069,29.24882,12.506475,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S10.jpeg
permanent_dentition_DAI_V02_S11,DAI_V02_S11,DAI_V02,permanent_dentition_DAI,frontal,permanent,5,0.983685839947632,0,3,17.272215,-2.683943,17.81822,11.801073,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S11.jpeg
permanent_dentition_DAI_V02_S12,DAI_V02_S12,DAI_V02,permanent_dentition_DAI,occlusal,permanent,9,1.0,1,6,-4.654094,-16.304123,-33.07404,20.371538,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S12.jpeg
permanent_dentition_DAI_V02_S13,DAI_V02_S13,DAI_V02,permanent_dentition_DAI,frontal,permanent,9,0.9402058520536616,0,5,9.018705,-15.448917,-33.81192,17.169855,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S13.jpeg
permanent_dentition_DAI_V02_S02,DAI_V02_S02,DAI_V02,permanent_dentition_DAI,frontal,permanent,10,0.9692348459687016,0,6,16.80546,-20.370024,-1.4956714,-1.6278437,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S02.jpeg
permanent_dentition_DAI_V02_S03,DAI_V02_S03,DAI_V02,permanent_dentition_DAI,frontal,permanent,10,0.9417912717026986,0,6,11.062981,-19.855345,-7.9094505,4.0643625,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S03.jpeg
permanent_dentition_DAI_V02_S04,DAI_V02_S04,DAI_V02,permanent_dentition_DAI,frontal,permanent,10,0.8628033150319698,0,5,33.7065,-15.9591875,1.6476672,-0.821235,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S04.jpeg
permanent_dentition_DAI_V02_S05,DAI_V02_S05,DAI_V02,permanent_dentition_DAI,frontal,permanent,11,0.9981683739946162,0,3,6.36989,8.087541,20.630102,15.337498,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S05.jpeg
permanent_dentition_DAI_V02_S06,DAI_V02_S06,DAI_V02,permanent_dentition_DAI,occlusal,permanent,1,0.7714446624325327,1,0,-42.17003,5.702105,1.1122329,-47.570873,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S06.jpeg
permanent_dentition_DAI_V02_S07,DAI_V02_S07,DAI_V02,permanent_dentition_DAI,occlusal,permanent,1,0.9360925870739188,1,4,-39.639336,0.833028,-6.0600944,-5.759352,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S07.jpeg
permanent_dentition_DAI_V02_S08,DAI_V02_S08,DAI_V02,permanent_dentition_DAI,occlusal,permanent,12,0.7943718490690865,1,0,-50.40021,18.914865,-10.0855255,-9.589901,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S08.jpeg
permanent_dentition_DAI_V02_S09,DAI_V02_S09,DAI_V02,permanent_dentition_DAI,occlusal,permanent,1,0.8578636417627112,1,2,-46.95436,18.71718,-10.625123,13.563898,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S09.jpeg
permanent_dentition_DAI_V03_S01,DAI_V03_S01,DAI_V03,permanent_dentition_DAI,frontal,permanent,2,0.9651992953882784,0,5,42.41665,-10.451355,-8.679008,-10.148984,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S01.jpeg
permanent_dentition_DAI_V03_S10,DAI_V03_S10,DAI_V03,permanent_dentition_DAI,frontal,permanent,2,0.8961263661327094,0,1,44.408566,-0.08225243,19.07251,8.778572,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S10.jpeg
permanent_dentition_DAI_V03_S11,DAI_V03_S11,DAI_V03,permanent_dentition_DAI,frontal,permanent,2,0.906362552302572,0,5,40.479786,-2.9420047,-30.789333,7.0815988,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S11.jpeg
permanent_dentition_DAI_V03_S12,DAI_V03_S12,DAI_V03,permanent_dentition_DAI,frontal,permanent,7,0.8996004724687422,0,5,50.78414,2.16976,-22.041016,-1.795494,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S12.jpeg
permanent_dentition_DAI_V03_S02,DAI_V03_S02,DAI_V03,permanent_dentition_DAI,frontal,permanent,7,0.9326168220542622,0,1,71.06146,-6.466697,-4.5126734,-16.935577,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S02.jpeg
permanent_dentition_DAI_V03_S03,DAI_V03_S03,DAI_V03,permanent_dentition_DAI,frontal,permanent,7,0.953550517342146,0,1,68.47852,-8.744165,-3.9892387,-14.615802,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S03.jpeg
permanent_dentition_DAI_V03_S04,DAI_V03_S04,DAI_V03,permanent_dentition_DAI,frontal,permanent,2,0.8565773601315532,0,1,39.85489,-0.15991615,20.111437,-0.53200233,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S04.jpeg
permanent_dentition_DAI_V03_S05,DAI_V03_S05,DAI_V03,permanent_dentition_DAI,occlusal,permanent,8,1.0,0,6,2.313617,17.369007,-5.8581295,-31.56298,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V03_S05.jpeg
