rule_id,position,image_id,legacy_image_id,volunteer_id,released_view,original_rule_label,corrected_view,coverage,filepath,provenance
10,1,permanent_dentition_DAI_V07_S01,DAI_V07_S01,DAI_V07,frontal,frontal,frontal,0.9852736475865956,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V07_S01.jpeg,author-side feedback documented during manuscript development
10,2,permanent_dentition_DAI_V08_S03,DAI_V08_S03,DAI_V08,frontal,frontal,frontal,0.9849418431659552,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V08_S03.jpeg,author-side feedback documented during manuscript development
10,3,permanent_dentition_DAI_V06_S11,DAI_V06_S11,DAI_V06,frontal,frontal,lateral,0.9799860867738224,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V06_S11.jpeg,author-side feedback documented during manuscript development
10,4,permanent_dentition_DAI_V02_S02,DAI_V02_S02,DAI_V02,frontal,frontal,frontal,0.9692348459687016,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V02_S02.jpeg,author-side feedback documented during manuscript development
10,5,permanent_dentition_DAI_V09_S01,DAI_V09_S01,DAI_V09,frontal,frontal,frontal,0.9605544976802216,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V09_S01.jpeg,author-side feedback documented during manuscript development
12,1,permanent_dentition_DAI_V01_S08,DAI_V01_S08,DAI_V01,occlusal,occlusal,occlusal,0.984467730381392,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S08.jpeg,author-side feedback documented during manuscript development
12,2,permanent_dentition_DAI_V10_S06,DAI_V10_S06,DAI_V10,occlusal,occlusal,occlusal,0.9817247820206558,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S06.jpeg,author-side feedback documented during manuscript development
12,3,permanent_dentition_DAI_V01_S01,DAI_V01_S01,DAI_V01,occlusal,occlusal,frontal,0.9598398108807378,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S01.jpeg,author-side feedback documented during manuscript development
12,4,permanent_dentition_DAI_V10_S04,DAI_V10_S04,DAI_V10,occlusal,occlusal,lateral,0.9477194427019888,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V10_S04.jpeg,author-side feedback documented during manuscript development
12,5,permanent_dentition_DAI_V01_S06,DAI_V01_S06,DAI_V01,occlusal,occlusal,occlusal,0.9413789894755324,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S06.jpeg,author-side feedback documented during manuscript development
13,1,permanent_dentition_DAI_V01_S10,DAI_V01_S10,DAI_V01,occlusal,occlusal,lateral,0.9944755345271238,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S10.jpeg,author-side feedback documented during manuscript development
13,2,permanent_dentition_DAI_V09_S11,DAI_V09_S11,DAI_V09,occlusal,occlusal,lateral,0.9820349836976155,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V09_S11.jpeg,author-side feedback documented during manuscript development
13,3,permanent_dentition_DAI_V01_S09,DAI_V01_S09,DAI_V01,occlusal,occlusal,lateral,0.9785391541045182,data/raw/permanent_dentition_DAI/permanent_dentition_DAI_V01_S09.jpeg,author-side feedback documented during manuscript development
